data,nr_super_noroc
2020-11-05,322457
2020-11-08,447476
2020-11-12,860324
2020-11-15,284490
2020-11-19,674672
2020-11-22,539802
2020-11-26,013482
2020-11-29,387840
2020-12-03,298331
2020-12-06,536591
2020-12-10,470050
2020-12-13,183352
2020-12-17,068113
2020-12-20,569489
2020-12-24,587763
2020-12-31,317204
2021-01-03,842471
2021-01-07,728187
2021-01-10,238264
2021-01-14,641127
2021-01-17,751091
2021-01-21,637373
2021-01-24,103147
2021-01-28,554128
2021-01-31,559759
2021-02-04,747094
2021-02-07,424067
2021-02-11,892103
2021-02-14,366789
2021-02-18,546232
2021-02-21,355538
2021-02-25,343354
2021-02-28,304099
2021-03-04,845963
2021-03-07,169213
2021-03-11,719225
2021-03-14,336730
2021-03-18,989302
2021-03-21,604108
2021-03-25,730458
2021-03-28,038005
2021-04-01,149586
2021-04-04,137529
2021-04-08,060629
2021-04-11,983605
2021-04-15,216050
2021-04-18,682000
2021-04-22,568933
2021-04-25,386867
2021-05-01,410283
2021-05-06,787840
2021-05-09,457133
2021-05-13,400722
2021-05-16,225311
2021-05-20,097203
2021-05-23,876416
2021-05-27,321018
2021-05-30,267391
2021-06-03,751653
2021-06-06,993480
2021-06-10,057672
2021-06-13,418155
2021-06-17,500388
2021-06-20,978653
2021-06-24,248267
2021-06-27,883976
2021-07-01,534369
2021-07-04,458243
2021-07-08,167129
2021-07-11,889229
2021-07-15,428531
2021-07-18,590741
2021-07-22,181596
2021-07-25,749292
2021-07-29,144815
2021-08-01,124243
2021-08-05,389611
2021-08-08,733763
2021-08-12,977131
2021-08-15,455813
2021-08-19,841348
2021-08-22,997650
2021-08-26,218041
2021-08-29,256557
2021-09-02,833202
2021-09-05,305212
2021-09-09,625299
2021-09-12,338145
2021-09-16,285516
2021-09-19,415974
2021-09-23,786294
2021-09-26,847862
2021-09-30,534807
2021-10-03,080839
2021-10-07,065318
2021-10-10,941161
2021-10-14,758005
2021-10-17,555238
2021-10-21,755743
2021-10-24,126324
2021-10-28,602119
2021-10-31,387892
2021-11-04,316363
2021-11-07,602646
2021-11-11,033070
2021-11-14,311991
2021-11-18,778796
2021-11-21,540492
2021-11-25,759816
2021-11-28,447059
2021-12-05,938928
2021-12-09,426530
2021-12-12,161059
2021-12-16,234521
2021-12-19,518222
2021-12-24,783110
2021-12-31,479167
2022-01-06,179743
2022-01-09,319834
2022-01-13,367830
2022-01-16,023009
2022-01-20,724492
2022-01-23,972160
2022-01-27,966332
2022-01-30,592238
2022-02-03,913351
2022-02-06,021984
2022-02-10,059685
2022-02-13,052533
2022-02-17,369460
2022-02-20,364544
2022-02-27,924642
2022-03-03,219246
2022-03-06,145424
2022-03-10,543591
2022-03-13,195509
2022-03-17,316713
2022-03-20,634247
2022-03-24,472764
2022-03-27,369158
2022-03-31,975858
2022-04-03,547571
2022-04-07,094834
2022-04-10,569438
2022-04-14,145593
2022-04-17,209079
2022-04-23,572243
2022-04-28,783309
2022-05-01,408830
2022-05-05,283991
2022-05-08,051230
2022-05-12,413031
2022-05-15,838759
2022-05-19,477037
2022-05-22,587613
2022-05-26,079719
2022-05-29,308808
2022-06-02,688513
2022-06-05,883994
2022-06-09,642922
2022-06-12,377494
2022-06-16,373569
2022-06-19,239490
2022-06-23,813324
2022-06-26,360919
2022-06-30,076752
2022-07-03,000063
2022-07-07,375092
2022-07-10,566268
2022-07-14,070490
2022-07-17,995548
2022-07-21,560658
2022-07-24,924882
2022-07-28,946621
2022-07-31,726540
2022-08-04,369552
2022-08-07,740588
2022-08-11,270436
2022-08-14,327914
2022-08-18,258670
2022-08-21,540149
2022-08-25,328917
2022-08-28,375749
2022-09-01,523295
2022-09-04,753161
2022-09-08,934848
2022-09-11,474669
2022-09-15,989794
2022-09-18,504237
2022-09-22,520886
2022-09-25,677067
2022-09-29,155331
2022-10-02,795426
2022-10-06,550560
2022-10-09,348921
2022-10-13,624524
2022-10-16,391994
2022-10-20,387346
2022-10-23,724886
2022-10-27,434065
2022-10-30,783816
2022-11-03,408788
2022-11-06,788444
2022-11-10,808641
2022-11-13,334421
2022-11-17,326503
2022-11-20,348525
2022-11-24,493702
2022-11-27,089430
2022-12-04,464216
2022-12-08,444050
2022-12-11,616074
2022-12-15,004906
2022-12-18,632725
2022-12-24,682063
2022-12-31,732303
2023-01-05,699868
2023-01-08,581632
2023-01-12,789276
2023-01-15,223598
2023-01-19,963812
2023-01-22,503430
2023-01-26,699147
2023-01-29,418901
2023-02-02,640308
2023-02-05,773877
2023-02-09,822543
2023-02-12,703497
2023-02-16,199962
2023-02-19,474394
2023-02-23,592191
2023-02-26,381379
2023-03-02,400606
2023-03-05,456939
2023-03-09,084101
2023-03-12,701492
2023-03-16,251056
2023-03-19,073322
2023-03-23,386321
2023-03-26,123164
2023-03-30,311133
2023-04-03,853978
2023-04-06,351633
2023-04-09,046921
2023-04-15,357853
2023-04-20,414579
2023-04-23,077910
2023-04-27,845188
2023-04-30,547606
2023-05-04,626704
2023-05-07,110639
2023-05-11,059946
2023-05-14,074131
2023-05-18,158136
2023-05-21,180352
2023-05-25,885275
2023-05-28,141617
2023-06-01,502489
2023-06-04,547727
2023-06-08,587103
2023-06-11,179908
2023-06-15,373068
2023-06-18,806444
2023-06-22,155250
2023-06-25,462859
2023-06-29,231199
2023-07-02,153085
2023-07-06,174423
2023-07-09,707130
2023-07-13,482678
2023-07-16,610898
2023-07-20,399214
2023-07-23,871375
2023-07-27,125118
2023-07-30,204914
2023-08-03,599521
2023-08-06,176546
2023-08-10,812588
2023-08-13,516626
2023-08-17,536250
2023-08-20,023759
2023-08-24,827575
2023-08-27,821474
2023-08-31,218566
2023-09-03,225918
2023-09-07,626332
2023-09-10,932602
2023-09-14,037852
2023-09-17,809976
2023-09-21,315186
2023-09-24,854682
2023-09-28,409058
2023-10-01,366028
2023-10-05,508520
2023-10-08,055222
2023-10-12,034346
2023-10-15,217518
2023-10-19,103067
2023-10-22,235562
2023-10-26,534911
2023-10-29,742000
2023-11-02,746156
2023-11-05,868514
2023-11-09,805942
2023-11-12,704124
2023-11-16,140559
2023-11-19,230283
2023-11-23,346593
2023-11-26,248683
2023-12-03,119847
2023-12-07,057201
2023-12-10,847276
2023-12-14,427816
2023-12-17,877834
2023-12-21,969773
2023-12-24,226345
2023-12-31,571865
2024-01-04,923700
2024-01-07,417953
2024-01-11,122700
2024-01-14,419113
2024-01-18,261461
2024-01-21,066994
2024-01-25,944547
2024-01-28,798270
2024-02-01,954301
2024-02-04,661401
2024-02-08,651836
2024-02-11,866079
2024-02-15,071049
2024-02-18,887307
2024-02-22,079596
2024-02-25,108235
2024-02-29,692175
2024-03-03,273096
2024-03-07,117368
2024-03-10,655873
2024-03-14,480489
2024-03-17,747411
2024-03-21,892431
2024-03-24,243555
2024-03-28,190926
2024-03-31,438477
2024-04-04,240926
2024-04-07,072963
2024-04-11,172865
2024-04-14,968147
2024-04-18,531689
2024-04-21,341670
2024-04-25,101378
2024-04-28,580696
2024-05-04,062306
2024-05-09,903883
2024-05-12,066438
2024-05-16,611534
2024-05-19,351097
2024-05-23,331703
2024-05-26,374847
2024-05-30,632036
2024-06-02,704771
2024-06-06,794644
2024-06-09,408374
2024-06-13,974344
2024-06-16,652966
2024-06-20,030442
2024-06-23,601461
2024-06-27,945506
2024-06-30,045011
2024-07-04,528006
2024-07-07,312410
2024-07-11,898045
2024-07-14,731889
2024-07-18,638351
2024-07-21,824811
2024-07-25,855033
2024-07-28,786457
2024-08-01,887184
2024-08-04,124429
2024-08-08,176685
2024-08-11,770016
2024-08-15,613218
2024-08-18,569179
2024-08-22,358637
2024-08-25,512659
2024-08-29,850939
2024-09-01,436096
2024-09-05,994202
2024-09-08,681992
2024-09-12,838421
2024-09-15,816227
2024-09-19,616208
2024-09-22,821220
2024-09-26,842235
2024-09-29,288629
2024-10-03,640986
2024-10-06,583118
2024-10-10,964007
2024-10-13,904674
2024-10-17,741274
2024-10-20,544146
2024-10-24,821076
2024-10-27,427878
2024-10-31,627194
2024-11-03,684994
2024-11-07,412600
2024-11-10,425150
2024-11-14,361832
2024-11-17,155347
2024-11-21,228238
2024-11-24,765884
2024-11-28,177342
2024-12-01,175440
2024-12-05,513959
2024-12-08,580003
2024-12-12,374643
2024-12-15,435237
2024-12-19,767203
2024-12-22,671410
2024-12-31,135579
2025-01-05,939001
2025-01-09,598969
2025-01-12,483569
2025-01-16,910150
2025-01-19,424918
2025-01-23,220315
2025-01-27,349770
2025-01-30,975619
2025-02-02,870203
2025-02-06,134773
2025-02-09,144313
2025-02-13,370102
2025-02-16,358637
2025-02-20,419605
2025-02-23,109826
2025-02-27,932169
2025-03-02,596601
2025-03-06,055199
2025-03-09,025105
2025-03-13,499766
2025-03-16,305652
2025-03-20,454476
2025-03-23,403514
2025-03-27,851111
2025-03-30,789320
2025-04-03,791896
2025-04-06,156299
2025-04-10,276540
2025-04-13,130981
2025-04-19,706396
2025-04-24,097551
2025-04-27,326142
2025-05-01,759492
2025-05-04,471582
2025-05-08,967333
2025-05-11,041612
